"component_id";"component_type";"component_name";"page_id";"role_id";"is_active"
44169642373914703;"PROCESS";"SAVE_COMMENT";105;"ADMIN";"Y"
44169642373914703;"PROCESS";"SAVE_COMMENT";105;"DEFAULT_USER";"Y"
44169642373914703;"PROCESS";"SAVE_COMMENT";105;"";""
44172109399914728;"BUTTON";"GOTO_NEXT_TASK";105;"ADMIN";"Y"
44172109399914728;"BUTTON";"GOTO_NEXT_TASK";105;"DEFAULT_USER";"Y"
44172109399914728;"BUTTON";"GOTO_NEXT_TASK";105;"";""
44172282401914729;"BUTTON";"GOTO_PREV_TASK";105;"ADMIN";"Y"
44172282401914729;"BUTTON";"GOTO_PREV_TASK";105;"DEFAULT_USER";"Y"
44172282401914729;"BUTTON";"GOTO_PREV_TASK";105;"";""
44172558470914732;"ITEM";"P100_TASK_ID";100;"ADMIN";"Y"
44172558470914732;"ITEM";"P100_TASK_ID";100;"DEFAULT_USER";"Y"
44172558470914732;"ITEM";"P100_TASK_ID";100;"";""
44172728522914734;"BUTTON";"COPY_LINK";105;"ADMIN";"Y"
44172728522914734;"BUTTON";"COPY_LINK";105;"DEFAULT_USER";"Y"
44172728522914734;"BUTTON";"COPY_LINK";105;"";""
44285202572494704;"BUTTON";"SEARCH";100;"ADMIN";"Y"
44285202572494704;"BUTTON";"SEARCH";100;"DEFAULT_USER";"Y"
44285202572494704;"BUTTON";"SEARCH";100;"";""
44285362883494705;"BUTTON";"BULK_OPERATIONS";100;"ADMIN";"Y"
44285362883494705;"BUTTON";"BULK_OPERATIONS";100;"DEFAULT_USER";"Y"
44285362883494705;"BUTTON";"BULK_OPERATIONS";100;"";""
44285432437494706;"BUTTON";"SPLIT_TASK";105;"ADMIN";"Y"
44285432437494706;"BUTTON";"SPLIT_TASK";105;"DEFAULT_USER";"Y"
44285432437494706;"BUTTON";"SPLIT_TASK";105;"";""
44286206232494714;"ITEM";"P110_SOURCE_STATUS";110;"ADMIN";"Y"
44286206232494714;"ITEM";"P110_SOURCE_STATUS";110;"DEFAULT_USER";"Y"
44286206232494714;"ITEM";"P110_SOURCE_STATUS";110;"";""
44286306349494715;"ITEM";"P110_SOURCE_SWIMLANE";110;"ADMIN";"Y"
44286306349494715;"ITEM";"P110_SOURCE_SWIMLANE";110;"DEFAULT_USER";"Y"
